Date,Close,High,Low,Open,Volume
2023-11-23,3223.603271484375,3256.45264566112,3216.022646674357,3243.588555074423,2729804
2023-11-24,3176.603271484375,3220.2033021073066,3172.835841192993,3210.738962666845,1989733
2023-11-28,3188.594482421875,3198.7939582765516,3154.4587888727906,3176.6034917170814,1689195
2023-11-29,3228.657470703125,3232.5626416032997,3193.786636590313,3198.5646831782506,1441634
2023-11-30,3204.62841796875,3231.321223058578,3198.5638291631694,3215.5168157957996,3266235
2023-12-01,3226.727294921875,3231.5973169040535,3206.8799756151684,3216.022623635975,1172141
2023-12-04,3227.4619140625,3259.943827094705,3214.184381936603,3257.049272597595,1625213
2023-12-05,3245.058349609375,3250.938986137575,3218.595036568669,3250.938986137575,1377656
2023-12-06,3311.676025390625,3319.7160810042337,3239.1315727028823,3245.97728523371,1896572
2023-12-07,3321.599365234375,3335.979712694237,3300.2817782561006,3312.5027068954923,1967653
2023-12-08,3332.442626953125,3349.257875970475,3309.792728580914,3338.231512592795,1641155
2023-12-11,3347.327880859375,3356.608492292705,3321.6916779737553,3328.950610165191,1102503
2023-12-12,3374.1591796875,3398.3251133631525,3336.3937952739866,3343.698716167012,2236866
2023-12-13,3301.98193359375,3353.851732647353,3273.9106091568547,3347.925108013577,3850968
2023-12-14,3369.702392578125,3379.580175854481,3333.269542133453,3335.4747249461025,3290396
2023-12-15,3547.732177734375,3579.8464140417323,3369.196944540151,3369.196944540151,8531230
2023-12-18,3546.07861328125,3610.215342004062,3519.385578930203,3545.0679978482985,2521612
2023-12-19,3506.5673828125,3542.3113130556862,3482.4932002785463,3533.030700546441,2004435
2023-12-20,3473.35009765625,3582.4651407823453,3460.945440121915,3516.7204109839868,2586083
2023-12-21,3480.19580078125,3497.8379366079334,3439.6280635557396,3451.481313976124,1517562
2023-12-22,3513.734375,3533.903385973376,3456.7648323091003,3491.681648797071,2413058
2023-12-26,3487.592529296875,3522.9227872920933,3482.6305316170315,3509.9209580263773,1285231
2023-12-27,3501.97314453125,3508.4051901666885,3462.2782791903614,3490.7630527187325,1293976
2023-12-28,3491.589111328125,3526.5978982793413,3484.42215593002,3513.7338100625852,1682889
2023-12-29,3485.6171875,3512.4481848321616,3459.889005984073,3484.3308681569797,1574996
2024-01-01,3501.880615234375,3521.084771777752,3466.871827744639,3482.492506533841,825907
2024-01-02,3476.24462890625,3501.881057224548,3461.588799764739,3501.881057224548,1344068
2024-01-03,3392.214111328125,3465.815162750429,3387.8954980179637,3461.3585853248583,1803075
2024-01-04,3369.2890625,3417.253697114489,3354.770972886529,3401.403300159602,3598144
2024-01-05,3434.619873046875,3443.6707684816074,3376.6857073845927,3376.8234471802834,1963127
2024-01-08,3379.85595703125,3436.320079253609,3374.4345273007075,3434.620091894895,1067805
2024-01-09,3390.5146484375,3447.897858716544,3383.944863545508,3408.937908160742,1370944
2024-01-10,3411.786376953125,3426.671921717854,3388.7687999719633,3390.606527086916,1292227
2024-01-11,3432.460693359375,3466.8720875812282,3406.227094795551,3421.847774755498,1777909
2024-01-12,3567.763671875,3588.392115065258,3511.5292637762777,3535.787173361786,6813450
2024-01-15,3587.059814453125,3643.2942226577734,3569.7851336760277,3638.6999045964144,2801505
2024-01-16,3548.0078125,3582.6489229025124,3542.7243471738425,3582.6489229025124,1432672
2024-01-17,3569.41748046875,3592.7105371518787,3503.213316001241,3509.139941106088,3458696
2024-01-18,3585.95703125,3591.6539404750943,3548.6510808536727,3581.7301691267776,2239110
2024-01-19,3648.365966796875,3667.33389806662,3622.4585484772238,3650.1701882508987,2941975
2024-01-23,3569.90380859375,3639.9000178846713,3555.5622006022504,3608.5336236676276,2618854
2024-01-24,3554.68310546875,3593.4053099998555,3521.1885578051592,3590.028183123641,2657709
